y,x,street_count,highway,junction,ref,geometry
11.2800954,106.3632366,3,,,,POINT (106.3632366 11.2800954)
11.3075598,106.3418466,3,,,,POINT (106.3418466 11.3075598)
11.2799781,106.3633052,3,,,,POINT (106.3633052 11.2799781)
11.2801632,106.3635816,3,,,,POINT (106.3635816 11.2801632)
11.2802737,106.3634845,3,,,,POINT (106.3634845 11.2802737)
11.2796738,106.3629572,3,,,,POINT (106.3629572 11.2796738)
11.2686899,106.3640093,4,,,,POINT (106.3640093 11.2686899)
11.2712123,106.3607706,3,,,,POINT (106.3607706 11.2712123)
11.2701772,106.3622904,3,,,,POINT (106.3622904 11.2701772)
11.2712849,106.3608287,3,,,,POINT (106.3608287 11.2712849)
11.2701015,106.3622367,3,,,,POINT (106.3622367 11.2701015)
11.4384563,106.4156328,3,,,,POINT (106.4156328 11.4384563)
11.2934922,106.3822195,3,,,,POINT (106.3822195 11.2934922)
11.2921993,106.3769889,3,,,,POINT (106.3769889 11.2921993)
11.282085,106.373765,3,,,,POINT (106.373765 11.282085)
11.2914244,106.3736498,3,,,,POINT (106.3736498 11.2914244)
11.2829057,106.3771482,3,,,,POINT (106.3771482 11.2829057)
11.3094922,106.4432282,3,,,,POINT (106.4432282 11.3094922)
11.2231573,106.3925888,4,,,,POINT (106.3925888 11.2231573)
11.2016797,106.3886815,3,,,,POINT (106.3886815 11.2016797)
11.1966697,106.4013258,3,,,,POINT (106.4013258 11.1966697)
11.2280553,106.3910011,3,,,,POINT (106.3910011 11.2280553)
11.2268109,106.4011075,1,,,,POINT (106.4011075 11.2268109)
11.2276077,106.4099484,3,,,,POINT (106.4099484 11.2276077)
11.2802468,106.3635274,3,,,,POINT (106.3635274 11.2802468)
11.2855217,106.3878683,3,,,,POINT (106.3878683 11.2855217)
11.2046702,106.3880034,1,,,,POINT (106.3880034 11.2046702)
11.2620178,106.3690892,4,,,,POINT (106.3690892 11.2620178)
11.2808864,106.3671203,3,,,,POINT (106.3671203 11.2808864)
11.2808194,106.3671318,3,,,,POINT (106.3671318 11.2808194)
11.2621271,106.369037,4,,,,POINT (106.369037 11.2621271)
11.2524891,106.3743642,3,,,,POINT (106.3743642 11.2524891)
11.2589285,106.3704431,3,,,,POINT (106.3704431 11.2589285)
11.2607327,106.369817,3,,,,POINT (106.369817 11.2607327)
11.2606986,106.3697372,3,,,,POINT (106.3697372 11.2606986)
11.2621031,106.3691341,4,,,,POINT (106.3691341 11.2621031)
11.2636231,106.3686308,3,,,,POINT (106.3686308 11.2636231)
11.2636091,106.3685586,3,,,,POINT (106.3685586 11.2636091)
11.2666974,106.3679105,3,,,,POINT (106.3679105 11.2666974)
11.2668898,106.3677814,4,,,,POINT (106.3677814 11.2668898)
11.2670121,106.3681365,3,,,,POINT (106.3681365 11.2670121)
11.2674063,106.3672972,3,,,,POINT (106.3672972 11.2674063)
11.1966408,106.4012616,4,,,,POINT (106.4012616 11.1966408)
11.228086,106.3910625,4,,,,POINT (106.3910625 11.228086)
11.2231658,106.3926598,4,,,,POINT (106.3926598 11.2231658)
11.2415507,106.3796939,3,,,,POINT (106.3796939 11.2415507)
11.2415316,106.3796146,3,,,,POINT (106.3796146 11.2415316)
11.2669749,106.3678919,3,,,,POINT (106.3678919 11.2669749)
11.2669241,106.3678952,3,,,,POINT (106.3678952 11.2669241)
11.2669268,106.3677534,4,,,,POINT (106.3677534 11.2669268)
11.2668799,106.3676664,3,,,,POINT (106.3676664 11.2668799)
11.2616862,106.3673996,3,,,,POINT (106.3673996 11.2616862)
11.2615391,106.3673554,3,,,,POINT (106.3673554 11.2615391)
11.2620501,106.368737,3,,,,POINT (106.368737 11.2620501)
11.2624435,106.3688938,3,,,,POINT (106.3688938 11.2624435)
11.2619174,106.3687716,3,,,,POINT (106.3687716 11.2619174)
11.2617077,106.3692266,3,,,,POINT (106.3692266 11.2617077)
11.1315033,106.4481222,3,,,,POINT (106.4481222 11.1315033)
11.1614111,106.4486858,3,,,,POINT (106.4486858 11.1614111)
11.0619872,106.4802331,4,traffic_signals,,,POINT (106.4802331 11.0619872)
11.0511442,106.4839942,3,,,,POINT (106.4839942 11.0511442)
11.1293767,106.4846791,3,,,,POINT (106.4846791 11.1293767)
11.1502402,106.5976313,3,,,,POINT (106.5976313 11.1502402)
11.1531666,106.5904177,3,,,,POINT (106.5904177 11.1531666)
11.1494542,106.5975189,3,,,,POINT (106.5975189 11.1494542)
11.1533028,106.5903655,3,,,,POINT (106.5903655 11.1533028)
11.1495267,106.5975142,3,,,,POINT (106.5975142 11.1495267)
11.149761,106.5969147,3,,,,POINT (106.5969147 11.149761)
11.1532319,106.5901886,3,,,,POINT (106.5901886 11.1532319)
11.1469044,106.5822288,3,,,,POINT (106.5822288 11.1469044)
11.148056,106.5838382,3,,,,POINT (106.5838382 11.148056)
11.1522986,106.5918212,3,,,,POINT (106.5918212 11.1522986)
11.1531214,106.5902179,3,,,,POINT (106.5902179 11.1531214)
11.1489896,106.597452,3,,,,POINT (106.597452 11.1489896)
11.1494764,106.5974018,4,,,,POINT (106.5974018 11.1494764)
11.1531043,106.5903693,3,,,,POINT (106.5903693 11.1531043)
11.1515035,106.598952,3,,,,POINT (106.598952 11.1515035)
11.1513286,106.5984637,3,,,,POINT (106.5984637 11.1513286)
11.151804,106.5986171,3,,,,POINT (106.5986171 11.151804)
11.1514483,106.5986208,6,,,,POINT (106.5986208 11.1514483)
